                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.46279,                0.29545,                0.92297,                0.98729,                0.99375,                0.99469,                0.90428,                0.48493,                0.25167,                0.91919,             0.00093385,             0.00093385,             0.00093385
                     37,                0.47468,                0.29327,                 0.9233,                0.99194,                0.99206,                0.99484,                0.91175,                0.44041,                0.24746,                0.91338,              0.0009197,              0.0009197,              0.0009197
                     38,                0.47082,                0.29844,                0.92445,                0.99665,                      1,                  0.995,                0.91542,                0.48869,                0.25882,                0.94383,             0.00090556,             0.00090556,             0.00090556
                     39,                  0.461,                0.29198,                0.91616,                0.98969,                 0.9965,                0.99491,                0.91464,                0.51637,                0.24781,                0.99675,             0.00089141,             0.00089141,             0.00089141
                     40,                0.45942,                0.28193,                0.92182,                0.98908,                      1,                  0.995,                0.90572,                0.55428,                0.26923,                 1.0042,             0.00087726,             0.00087726,             0.00087726
                     41,                0.45917,                0.28374,                0.92071,                0.98821,                0.99866,                  0.995,                0.91081,                0.54225,                0.24643,                0.99889,             0.00086312,             0.00086312,             0.00086312
                     42,                0.46377,                0.28217,                0.91848,                0.98799,                0.99832,                  0.995,                0.90949,                0.51356,                0.24251,                0.98691,             0.00084897,             0.00084897,             0.00084897
                     43,                0.47283,                0.29029,                0.92258,                0.98628,                0.99907,                  0.995,                0.91071,                0.51957,                0.24312,                0.99319,             0.00083482,             0.00083482,             0.00083482
                     44,                0.45816,                0.28445,                0.92358,                0.99596,                      1,                  0.995,                0.91458,                0.43809,                0.25844,                0.90414,             0.00082067,             0.00082067,             0.00082067
                     45,                0.44548,                 0.2795,                0.90733,                0.98926,                      1,                  0.995,                0.90785,                0.54369,                0.25617,                0.97692,             0.00080653,             0.00080653,             0.00080653
                     46,                0.45903,                0.27571,                0.91734,                0.99009,                      1,                  0.995,                0.91463,                0.51279,                 0.2212,                0.97056,             0.00079238,             0.00079238,             0.00079238
                     47,                0.43783,                0.27276,                0.91402,                0.97381,                      1,                0.99469,                0.90885,                 0.5241,                0.23991,                0.96677,             0.00077823,             0.00077823,             0.00077823
                     48,                0.45818,                0.27799,                 0.9191,                0.96734,                0.99629,                0.99173,                 0.9167,                0.46077,                0.23974,                0.91641,             0.00076409,             0.00076409,             0.00076409
                     49,                0.44209,                 0.2712,                0.90788,                0.98956,                      1,                  0.995,                0.91797,                 0.4646,                0.23109,                0.92011,             0.00074994,             0.00074994,             0.00074994
                     50,                0.44249,                0.26839,                 0.9157,                0.99274,                      1,                  0.995,                0.92102,                0.49988,                0.25498,                0.94189,             0.00073579,             0.00073579,             0.00073579
                     51,                0.42833,                0.26785,                0.91391,                0.99224,                0.99992,                  0.995,                0.92139,                0.46037,                0.24232,                0.90636,             0.00072164,             0.00072164,             0.00072164
                     52,                0.42259,                   0.26,                0.90632,                0.99458,                      1,                  0.995,                0.91426,                0.46275,                0.23469,                0.91764,              0.0007075,              0.0007075,              0.0007075
                     53,                0.42295,                0.25359,                0.90473,                0.99604,                0.98935,                  0.995,                0.92137,                0.46185,                0.23979,                0.91651,             0.00069335,             0.00069335,             0.00069335
                     54,                0.43539,                0.26767,                0.90856,                0.99649,                0.99716,                  0.995,                0.91354,                0.46191,                0.25124,                 0.9189,              0.0006792,              0.0006792,              0.0006792
                     55,                 0.4348,                0.27069,                0.90693,                0.99172,                0.99885,                  0.995,                0.92501,                0.46447,                0.23955,                0.92443,             0.00066506,             0.00066506,             0.00066506
                     56,                0.43666,                0.26378,                0.91673,                0.98376,                      1,                  0.995,                0.90662,                0.46736,                0.26029,                0.91664,             0.00065091,             0.00065091,             0.00065091
                     57,                   0.42,                0.26452,                0.90086,                0.99598,                0.98553,                  0.995,                0.91975,                0.41964,                0.22551,                0.90533,             0.00063676,             0.00063676,             0.00063676
                     58,                0.42564,                0.26237,                0.90801,                0.99098,                0.99247,                  0.995,                0.93086,                0.44684,                0.24037,                0.90421,             0.00062262,             0.00062262,             0.00062262
                     59,                0.41872,                0.25531,                0.91382,                0.99372,                      1,                  0.995,                  0.929,                0.43921,                0.22403,                0.90254,             0.00060847,             0.00060847,             0.00060847
                     60,                0.41502,                0.24811,                0.89837,                0.99189,                      1,                  0.995,                0.93138,                0.42726,                0.22656,                0.89348,             0.00059432,             0.00059432,             0.00059432
                     61,                0.41748,                0.25123,                0.90422,                0.99651,                      1,                  0.995,                0.92452,                0.43967,                0.22381,                0.90959,             0.00058017,             0.00058017,             0.00058017
                     62,                 0.4034,                0.24618,                0.89769,                0.98964,                      1,                  0.995,                0.92691,                0.41854,                0.21519,                 0.8952,             0.00056603,             0.00056603,             0.00056603
                     63,                0.40258,                0.24488,                0.90199,                0.99308,                      1,                  0.995,                0.92334,                0.42471,                0.22909,                0.90227,             0.00055188,             0.00055188,             0.00055188
                     64,                0.40909,                0.24681,                0.90209,                0.98303,                0.99995,                  0.995,                0.92339,                0.42634,                0.23108,                0.91257,             0.00053773,             0.00053773,             0.00053773
                     65,                0.41711,                0.24894,                0.90982,                0.98817,                 0.9991,                  0.995,                0.93048,                0.46199,                  0.213,                 0.9266,             0.00052359,             0.00052359,             0.00052359
                     66,                0.41241,                0.24984,                0.90414,                0.99277,                      1,                  0.995,                0.92957,                0.43672,                0.20743,                0.90221,             0.00050944,             0.00050944,             0.00050944
                     67,                0.41285,                0.25167,                0.91085,                 0.9907,                      1,                  0.995,                0.92022,                0.44252,                 0.2208,                0.90847,             0.00049529,             0.00049529,             0.00049529
                     68,                0.40876,                0.24385,                 0.9001,                0.99657,                      1,                  0.995,                0.92635,                0.44332,                0.20822,                0.90417,             0.00048114,             0.00048114,             0.00048114
                     69,                0.40761,                0.24562,                0.89349,                0.98921,                0.99972,                  0.995,                0.94223,                0.42618,                0.22764,                0.90272,               0.000467,               0.000467,               0.000467
                     70,                0.40139,                0.24165,                0.90204,                 0.9939,                      1,                  0.995,                0.93393,                 0.4261,                0.21242,                0.90226,             0.00045285,             0.00045285,             0.00045285
                     71,                0.40633,                0.23939,                 0.8968,                0.99503,                      1,                  0.995,                0.91971,                0.46999,                0.23246,                0.90768,              0.0004387,              0.0004387,              0.0004387
                     72,                0.39279,                0.23852,                0.90052,                0.99668,                      1,                  0.995,                0.93286,                0.46079,                0.21083,                0.92706,             0.00042456,             0.00042456,             0.00042456
                     73,                0.40135,                 0.2375,                0.89908,                0.99009,                      1,                  0.995,                0.93005,                0.47236,                0.22869,                0.91779,             0.00041041,             0.00041041,             0.00041041
                     74,                0.39958,                0.23783,                0.90235,                0.98789,                      1,                  0.995,                0.93049,                0.43348,                0.21681,                0.90012,             0.00039626,             0.00039626,             0.00039626
                     75,                0.38116,                 0.2266,                0.89473,                0.99668,                      1,                  0.995,                0.93074,                 0.4259,                0.21951,                0.90237,             0.00038211,             0.00038211,             0.00038211
                     76,                0.38633,                0.22911,                0.89612,                 0.9801,                0.99901,                  0.995,                0.93087,                0.46912,                0.21151,                0.94899,             0.00036797,             0.00036797,             0.00036797
                     77,                0.38203,                0.21899,                0.89289,                0.97989,                0.99915,                  0.995,                0.93589,                0.45809,                  0.222,                0.92347,             0.00035382,             0.00035382,             0.00035382
                     78,                0.37222,                0.21996,                0.89109,                0.99364,                      1,                  0.995,                0.94137,                 0.4265,                 0.2163,                 0.9015,             0.00033967,             0.00033967,             0.00033967
                     79,                 0.3816,                0.22452,                0.89039,                 0.9947,                      1,                  0.995,                0.92248,                0.43522,                0.20923,                0.91167,             0.00032553,             0.00032553,             0.00032553
                     80,                0.39161,                0.23235,                0.89797,                0.98958,                      1,                  0.995,                 0.9324,                0.44056,                0.22363,                0.90388,             0.00031138,             0.00031138,             0.00031138
                     81,                0.38865,                0.23487,                0.89034,                0.99827,                      1,                  0.995,                0.93441,                0.43366,                0.22593,                0.91181,             0.00029723,             0.00029723,             0.00029723
                     82,                0.37338,                0.22959,                0.88711,                0.99838,                      1,                  0.995,                0.93768,                0.45267,                0.21018,                0.94093,             0.00028308,             0.00028308,             0.00028308
                     83,                0.36939,                0.21556,                0.88466,                0.99065,                      1,                  0.995,                0.93927,                0.43519,                0.21642,                0.92184,             0.00026894,             0.00026894,             0.00026894
                     84,                0.36464,                0.21855,                0.88863,                0.99564,                      1,                  0.995,                0.93834,                 0.4375,                0.21223,                0.92593,             0.00025479,             0.00025479,             0.00025479
                     85,                 0.3811,                0.21874,                 0.8946,                0.99703,                      1,                  0.995,                0.93848,                 0.4156,                0.21827,                0.90969,             0.00024064,             0.00024064,             0.00024064
                     86,                0.36822,                0.21162,                0.88791,                0.99243,                      1,                  0.995,                0.93427,                0.42576,                0.21838,                0.92148,              0.0002265,              0.0002265,              0.0002265
                     87,                0.36363,                 0.2105,                0.88685,                0.99352,                      1,                  0.995,                0.94003,                0.44602,                0.20936,                0.93478,             0.00021235,             0.00021235,             0.00021235
                     88,                0.36435,                0.21429,                0.89144,                0.99671,                      1,                  0.995,                0.94122,                  0.457,                0.21276,                0.93758,              0.0001982,              0.0001982,              0.0001982
                     89,                0.36664,                0.20889,                  0.888,                0.99758,                0.99739,                  0.995,                 0.9388,                0.46183,                0.21256,                0.92543,             0.00018406,             0.00018406,             0.00018406
                     90,                 0.3631,                 0.2099,                0.88761,                0.99567,                      1,                  0.995,                 0.9462,                0.43582,                0.22614,                0.91411,             0.00016991,             0.00016991,             0.00016991
                     91,                 0.3295,                0.18714,                0.86519,                0.99268,                      1,                  0.995,                0.92086,                0.43587,                0.20981,                0.92978,             0.00015576,             0.00015576,             0.00015576
                     92,                0.32596,                0.17872,                0.86162,                0.99352,                      1,                  0.995,                0.92833,                0.44405,                0.22728,                 0.9307,             0.00014161,             0.00014161,             0.00014161
                     93,                 0.3221,                0.17719,                0.85449,                0.99785,                0.99709,                  0.995,                0.93695,                0.44252,                   0.22,                0.93449,             0.00012747,             0.00012747,             0.00012747
                     94,                0.31716,                0.17781,                0.85509,                 0.9983,                0.99936,                  0.995,                0.93676,                0.43711,                0.20842,                0.92985,             0.00011332,             0.00011332,             0.00011332
                     95,                0.31427,                0.17178,                0.84366,                0.99017,                      1,                  0.995,                0.93615,                0.45538,                0.19956,                0.94731,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.30958,                 0.1715,                 0.8523,                0.99694,                      1,                  0.995,                0.93917,                0.45456,                0.20399,                 0.9452,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.30307,                 0.1681,                0.84528,                0.99348,                      1,                  0.995,                0.94215,                0.44108,                0.20505,                0.93031,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.29992,                0.16401,                0.84036,                0.98412,                      1,                  0.995,                0.93629,                0.45874,                0.21492,                0.93143,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 0.3063,                0.16779,                0.84996,                0.98467,                      1,                  0.995,                0.93909,                0.44443,                0.21414,                0.92501,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.30416,                0.16335,                0.84206,                0.98663,                      1,                  0.995,                0.94117,                0.43892,                0.21252,                0.92201,             2.8437e-05,             2.8437e-05,             2.8437e-05
