                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.46003,                0.28181,                0.92308,                 0.9914,                      1,                  0.995,                0.91583,                0.53256,                0.24582,                0.98861,             0.00093385,             0.00093385,             0.00093385
                     37,                0.46454,                0.28134,                0.91931,                0.99491,                0.99694,                  0.995,                0.90629,                0.50349,                0.25938,                 0.9913,              0.0009197,              0.0009197,              0.0009197
                     38,                0.46542,                0.28427,                0.92366,                0.99288,                      1,                  0.995,                0.91374,                0.51407,                0.25199,                0.99241,             0.00090556,             0.00090556,             0.00090556
                     39,                0.45904,                0.28004,                0.91798,                0.98855,                0.99776,                  0.995,                0.90938,                0.53895,                0.25674,                0.99592,             0.00089141,             0.00089141,             0.00089141
                     40,                0.45591,                0.27736,                 0.9236,                0.99766,                      1,                  0.995,                0.90394,                0.50692,                0.25487,                0.96487,             0.00087726,             0.00087726,             0.00087726
                     41,                0.45193,                0.28327,                0.91751,                0.98253,                      1,                0.99469,                0.87601,                0.56843,                0.25972,                 1.0154,             0.00086312,             0.00086312,             0.00086312
                     42,                0.46436,                  0.281,                0.91853,                0.99355,                      1,                  0.995,                0.91244,                0.52341,                0.24432,                0.96826,             0.00084897,             0.00084897,             0.00084897
                     43,                  0.455,                0.27492,                0.91838,                0.99012,                      1,                  0.995,                  0.907,                0.49508,                0.25546,                0.96457,             0.00083482,             0.00083482,             0.00083482
                     44,                0.45336,                0.27538,                0.92081,                0.98734,                      1,                0.99411,                0.92158,                0.48481,                0.24044,                0.95372,             0.00082067,             0.00082067,             0.00082067
                     45,                0.44028,                0.27425,                0.90765,                0.99146,                      1,                  0.995,                0.92439,                0.50789,                0.24871,                0.93339,             0.00080653,             0.00080653,             0.00080653
                     46,                0.45706,                0.26925,                0.91953,                0.99729,                      1,                  0.995,                0.92331,                0.51694,                0.23499,                 0.9794,             0.00079238,             0.00079238,             0.00079238
                     47,                0.43429,                0.27144,                0.91644,                0.99825,                0.99485,                  0.995,                0.90514,                0.48871,                0.24365,                0.93007,             0.00077823,             0.00077823,             0.00077823
                     48,                0.45665,                0.27591,                0.91633,                0.99506,                0.99817,                  0.995,                0.92079,                0.52189,                0.22786,                0.96747,             0.00076409,             0.00076409,             0.00076409
                     49,                0.44563,                0.26637,                0.90898,                0.99133,                      1,                  0.995,                0.91187,                0.52062,                0.24514,                0.95721,             0.00074994,             0.00074994,             0.00074994
                     50,                 0.4531,                0.27296,                0.92031,                 0.9836,                 0.9966,                0.99391,                0.92747,                0.46963,                 0.2391,                0.91851,             0.00073579,             0.00073579,             0.00073579
                     51,                0.42217,                0.26103,                0.91328,                0.99547,                      1,                  0.995,                0.92215,                0.42864,                0.20952,                0.90531,             0.00072164,             0.00072164,             0.00072164
                     52,                0.42366,                0.25376,                0.90522,                0.99173,                0.99646,                  0.995,                0.92275,                0.48954,                0.23651,                0.95123,              0.0007075,              0.0007075,              0.0007075
                     53,                0.42001,                0.24466,                0.90394,                0.99445,                      1,                  0.995,                 0.9041,                 0.4762,                0.23986,                0.93701,             0.00069335,             0.00069335,             0.00069335
                     54,                0.42699,                0.26006,                0.90664,                0.99666,                      1,                  0.995,                0.90876,                0.47264,                0.23345,                0.93184,              0.0006792,              0.0006792,              0.0006792
                     55,                0.41129,                0.25109,                0.89771,                0.99484,                0.99999,                  0.995,                0.91107,                0.49559,                0.23667,                 0.9437,             0.00066506,             0.00066506,             0.00066506
                     56,                0.42059,                0.25045,                 0.9096,                0.99678,                      1,                  0.995,                0.91227,                0.48637,                0.22216,                0.93901,             0.00065091,             0.00065091,             0.00065091
                     57,                0.41709,                0.25656,                0.90013,                0.97471,                      1,                  0.995,                0.92471,                0.48046,                 0.2471,                0.96116,             0.00063676,             0.00063676,             0.00063676
                     58,                0.41887,                0.25548,                0.90755,                0.98761,                 0.9955,                0.99496,                0.92386,                0.49415,                0.23154,                0.96411,             0.00062262,             0.00062262,             0.00062262
                     59,                0.41524,                0.25543,                0.91288,                 0.9917,                0.99938,                0.99447,                0.91329,                0.49674,                0.22095,                0.96846,             0.00060847,             0.00060847,             0.00060847
                     60,                 0.4157,                0.24922,                0.89954,                0.99282,                 0.9987,                0.99496,                0.92255,                0.47939,                0.22663,                0.98535,             0.00059432,             0.00059432,             0.00059432
                     61,                0.41552,                0.25061,                 0.9056,                0.99717,                      1,                  0.995,                0.93241,                0.46905,                0.23614,                0.92218,             0.00058017,             0.00058017,             0.00058017
                     62,                0.40508,                0.23961,                0.89979,                 0.9967,                      1,                  0.995,                0.93628,                0.44578,                0.22833,                0.90697,             0.00056603,             0.00056603,             0.00056603
                     63,                0.39729,                0.23692,                0.89974,                0.99589,                      1,                  0.995,                 0.9414,                 0.4441,                0.22769,                0.90308,             0.00055188,             0.00055188,             0.00055188
                     64,                0.40335,                 0.2378,                0.89913,                 0.9873,                      1,                  0.995,                0.93597,                0.45739,                0.22554,                0.90964,             0.00053773,             0.00053773,             0.00053773
                     65,                0.40156,                0.23703,                 0.9029,                0.98272,                0.99904,                  0.995,                0.92074,                0.48752,                0.21619,                0.95578,             0.00052359,             0.00052359,             0.00052359
                     66,                0.40332,                 0.2393,                0.90093,                0.99574,                      1,                  0.995,                0.92688,                0.47359,                0.21284,                0.94423,             0.00050944,             0.00050944,             0.00050944
                     67,                0.40348,                0.24421,                0.91069,                0.99256,                      1,                  0.995,                0.92659,                0.47366,                0.22042,                0.91793,             0.00049529,             0.00049529,             0.00049529
                     68,                0.39835,                0.24185,                0.89811,                0.99177,                      1,                  0.995,                0.91482,                0.47528,                0.23848,                0.93797,             0.00048114,             0.00048114,             0.00048114
                     69,                0.40302,                0.23973,                 0.8955,                0.98461,                      1,                  0.995,                0.92708,                0.49976,                 0.2197,                0.96938,               0.000467,               0.000467,               0.000467
                     70,                0.38983,                0.23473,                0.89845,                0.98519,                      1,                0.99484,                0.93455,                0.44589,                0.22521,                0.91686,             0.00045285,             0.00045285,             0.00045285
                     71,                0.39405,                0.24024,                0.89367,                0.99417,                      1,                  0.995,                0.93308,                0.48876,                0.21675,                0.96439,              0.0004387,              0.0004387,              0.0004387
                     72,                0.38474,                0.23319,                0.89709,                0.99479,                      1,                  0.995,                0.93054,                0.48927,                0.20743,                0.96983,             0.00042456,             0.00042456,             0.00042456
                     73,                0.38002,                 0.2269,                0.89332,                0.99153,                      1,                0.99327,                0.93589,                0.47114,                0.20772,                0.93625,             0.00041041,             0.00041041,             0.00041041
                     74,                0.37378,                0.22557,                0.89435,                0.99617,                      1,                  0.995,                0.93446,                0.49436,                0.21448,                0.96741,             0.00039626,             0.00039626,             0.00039626
